Question,Answer
ඔයා චිප්ස් හදන්න දන්නවද,ඔව් දන්නවා
නැකතට කිරි ඉතුරුවද,ඔව්
පලතුරු අව්වේ වේලලා කල් තියා ගන්න පුලුවන්ද,ඔව් පුලුවන් 
උත්සවය කොහෙද,අරහෙ
සංගීත කන්ඩායම ආවද,ඔව් ආවා
ඒක විනිවිද පේනවද,ඔව් පේනවා
ඔයා උම්බලකඩ වලට කැමතිද,ඔව් කැමති
කලමනාකරනය හැම කාලෙම වැදගත් දෙයක් කියලා ඔයා දන්නවද,ඔව් දන්නවා
මේ වෙලාවෙ අපි මොනවා කෑවොත්ද හොද,බත් තමයි හොද
ඔයා දවසට වෙල් කීයක් කනවද,තුනම කනවා
ඔයා දන්නවද අච්චාරු හදන්න,ඔව් දන්නවා
ඔයාගෙ මේ අදහස මං ඔලුවේ තියා ගන්නද,හා 
ඔයා දැන් වැඩසටහනෙන් සමු ගන්නවද,ඔව් ඉවරයි මේක
ඔයාගෙ පෙම්වතිය හරිම ආදරනීයයි නේද,ඔව් එහෙමයි.
ඔයාට ඒක සම්පූර්ණ කරන්න පුලුවන්ද,පුලුවන් 
ගස්වල කොල දලු දාලද,ඔව් දලු දාලා
ඔයා දන්න කෙනෙක් ඉන්නවනම් මට කියනවද,හා මං කියන්නම්
ඒ කාලෙ අපි ඔක්කොම එකට හිටියා මතකද,ඔව්
අම්මා අපි හැමෝම වට කරන් බත් කැව්වා මතකද,ඔව් මතකයි.
අක්කයි මායි තාත්තා ගෙදර එනකන් බලන් හියියා මතකද,ඔව්.
තාත්තා ඒ දවස් වල අපි හැමෝටම කෑම ජාති ගෙනාවා මතකද,මතකයි
ඒ කාලෙ අපි ගොඩක් සතුටෙන් හිටියා නේද,ඔව් ඒක ඇත්ත
සමහර දවස් වලට අක්කා මට ගහනවා මතකද,ඔව් 
ගිය කෙනා ආයෙ එන්න ගොඩක් පරක්කුද,ටිකක් පරක්කුයි.
මේ අවුරුද්ද සරුයි නේද,ඔව් සරුයි.
මං ගැන ඔයාට හිතන්න තිබුනා නේද,ඔව් 
මුලින්ම පටන් ගත්තේ කොහෙන්ද,දන්නැ
මෙච්චර වෙලා කිව්වෙ මොකද්ද,මතක නැ.
ඇයි ඔයා පේන්න නැත්තේ,මං වැඩ.
"මං මේ ටිකෙ වැඩ,ඔයාලා මාව හෙව්වද?",ඔව් මං ඔයාව හෙව්වා
උතුරුමැද පලාත එච්චරම ලොකුද,ඔව් ගොඩක් ලොකුයි.
ඔයා රෝස වතුරෙන් මූණ සේදුවද,ඔව් මූණ සේදුවා
විරාමෙන් පස්සෙත් ඔයාමද කතා කරන්නේ,ඔව් මම
රේඩි එක කැඩිලද,ඔව් කැඩොලා
ඔයාට ඒම කියන්න තියෙන කරුණු කාරනා මොනවද,තියෙනවා මගෙ ගාව
ඇය නේද ලාබාලතම රූපලාවණ්‍ය ශිල්පිනිය,ඔව් ඇය
ඔයාට අවුරුදු 10ට මේ තරම් දෙයක් හොයා ගත්තෙ කොහොමද,මගෙ දක්ශතාවය තමයි
ඔයා පොඩි කාලෙ ඉදලා මේවට දක්ශද,ඔව් දක්ශයි.
ඒ ලමයා බය වෙලා නේද ඉන්නේ,ඔව් බය වෙලා
එයා වයසට වඩා වැඩ කරනවා නේද,ඔව් වැඩ කරනවා
ඔයා මේවා ඉගෙන ගත්තේ කොහොමද,අධ්‍යයනය කරලා
ඔයා කොහොමද වෙනස් වෙන දේවල් වලට හුරු වෙන්නේ,කාලය එක්ක හැමදේම හුරු උනා
ඒක නම් නියම රසයක් නේද,ඔව් එහෙමයි
ඔයාගෙ අත හිරි වැටිලා නේද,ඔව් එහෙම තමයි
ඒක තප්පර කීයෙන්ද ක්‍රියාකාරී වෙන්නෙ,මං එ ගැන කියන්න දන්නැ
කව්ද විද්‍යාව ඔයාගෙ ගුරුතුමා,විජේපාල ගුරුතුමා
ඔයාට ආර්තික විද්‍යාව පිලිබඳ දැනුමක් තියෙනවා ද,ඔව් තියෙනවා 
ඔයාලගෙ රූපවාහිනිය අගල් කීයද,අගල් 32
පොඩි අයට පිටි කෑම හදන්න දෙන්න හොදනැ,ඔව් හොදනෙ නැ
ඔයා මේ කියන්නෙ එයාගෙම වැරදි  හොදද,ඔව් මං දන්නවා
කොහොඹ විෂබීජ නාශකයක්ලු නේද?,ඔව් මං දන්නවා
ඔයා ලමයිට දෙන්න ඕනි හොදම දේ නේද,ඔව්
ප්‍රශ්නයක් අහන්නද,අහන්න
දන්නවාද උත්තරේ,මොකද්ද
පඩිපෙලෙන් වැටුනෙ එයා නේද,ඔව් එයා
එයාලා උපතින්ම සල්ලි කාරයෝ වගේ නේද,ඔව් එ වගෙ
මොකද පුතේ මෙතන කරන්නේ,අම්මා එනකන් ඉන්නේ
අම්මා එනකන්ද මග බලන් ඉන්නේ,ඔව්
තාත්තා එනවා කියලද ගියේ,ඔව්
අපි ගෙට යමුද,යමු
ඇයි ඔයා ඒ දේවල් හංගන්නේ,මං හංගන්නැ
එයා තනි උනේ දරුවෙක් එක්ක නේද,ඔව් එහෙමයි
ඔයා මට සගවන්නැතුව එ ගැන කියනවද,ඔව් කියන්නම්
කීයටද පත්තරේ ගෙදරට එන්නේ,උදේ 6ට
තාමත් වාහනය බල ගැන්වෙන්නෙ නැද්ද,නැනෙ
කව්ද සම අනුග්‍රහය දරන්නේ,ඇන්කර් එක
ඔයා ජෝතිපාල මහත්තව දන්නවද,ඔව් දන්නවා
එයා ට පුලුවන්ලු නේද ඕනි කෙනෙක්ව නටවන්න,ඔව් එහෙම තමයි
එයා අකාලයේ නේද මැරුණේ,ඔව් ඒක නම් එහෙමයි
හැමදේම වෙන්නෙ හොදට කියලා හිත හදා ගන්න බැරිද,හැමදේම බැ
එයා අදවත් හොදඉන් කතා කරයිද,දන්නැ
දැන් පැයෙන් පැයට ප්‍රවෘත්ති යනවද,ඔව් යනවා
ඇයි විරෝදතා කරුවන්ට ප්‍රතිචාර නොදෙන්නේ,දන්නැ
දිනන්න නම් පුහුනු වීම කරන්න ඕනෙ නේද,ඔව් එහෙමයි
මේ තොරන ලස්සනයි නේද,ලස්සනයි 
මොකද්ද මේකෙන් පෙන්නුම් කරන ජාතක කතාව,සද කිදුරු ජාතකය
සද කිදුරු ජාතක කතාව ගැන දන්නවද,ඔව් දන්නවා
ඔයා ගිනුම් අංකය එව්වද,ඔව් එව්වා
ඇයි මෙතන මෙ හිස්තැනක් තියෙන්නේ,දන්නැ මං එ ගැන
ඔයාලා කොහෙ යන්නද කතා උනේ,ගෙදර ඉන්න
එතකොට කවද්ද යන්න දා ගත්ත දවස,මට මතක නැ
මාත් ආවට කමක් නැද්ද ඔයාලා එක්ක,එන්න
සත්තුවත්තද බලන්න යන්නේ,ඔව් එහෙ යමු
හරි එහෙනම් අපි එහෙදි හමු වෙමු නේද,හා
"මේ බලන්නකෝ මෙතන සිංහයෙක්, ඔයා දැකලා තියෙනවා ද මීට කලින්",නෑ
අපි මින් මැදුරටත් යමුද බලන්න,යමු
මට බඩගිනි වගෙ අපි පොප්කෝන් වගෙ දෙයක් කමුද,බැ වෙනදෙයක් කමු
නෑ අපි අයිස්ක්‍රීම් කමුද,ඒක හොදයි
අපි ඒ ජාති දෙකම අරන් කමු,හා ගොඩක් හොදවෙයි
මං ඔයාට රහසක් කියන්නද,කියන්න 
මගෙ මුදල් පසුම්බිය නැතිවෙලා වගේ,හොයමු
එදානම් ගොඩක් මහන්සි වෙලා ඒක හොයා ගත්තේ,ඔව් ගොඩක්
ඔව් මතකද අපි ඒක පොප්කෝන් කෑව තැන ද කොහෙද දාලා ආවේ,ඒකනේ.
එදා බස් එකක් තිබ්බෙත් නෑ නේද,නැ 
ඔව් අපිට ගොඩක් වෙලා බස් එකක් එනකන් ඉන්න උනා නේද,ඔව් නේ
ඔව් එදා අපි එද්දිත් ගොඩක් රෑ උනා නේද,ඔව් එහෙම උනා
අපි අන්තිමට ගියපු ගමන ඒක නේද,ඔව් ඒක තමයි
අපේ බලු පැටියා අසනීප වෙලා ඔයා දන්නවද,අනෙ එහෙමද
ඔව් අපි පශුවෛද්‍යය ලගට අරන් යමු නේද,යමු
ඔයා  වාහනය අරන් ඉස්සරහට එනවද,හ අමං එන්නම්
වාහනය ස්ටාර්ට් වෙන්නෑ නේද,තෙල් නැ වගෙ
තෙල් තියෙනවා ද,නැ වගෙ
මං අල්ලපු ගෙදරින් අරන් එන්නද,හා අරන් එන්න
ඔයා මං එනකන් බලු පැටියා එක්ක ඉන්නවද,හා ඉන්නම්
ඔයා දන්නවද ඒ මිනිස්සු මගෙන් මෙ තෙල් කාලට සල්ලි ඉල්ලපු වග,නෑනෙ 
පුදුම මිනිස්සු නේද,ඒක තමයි
ඉතින් කීයක් ඉල්ලුවද ඔයාගෙන් ,500ක්
දෙන්නම කතාව අහන් හිටියද ඔයා,ඔව් 
මේ දේවල් වලට ඔයාලගෙ සම්බන්දයක් නැද්ද,නැ සම්බන්දයක් නැ
ගෑනු ලමයා දුකින් ඉන්නෙ කියලා පිරිමි ලමයා දන්නවා නේද,ඔව් දන්නවා
මොකද්ද ඒ දෙන්නගෙ උවමනාව,මට තෙරෙන්නැ
කෝ බල්ලව ගත්තද ඔඩොක්කොවට?,ඔව් ගත්තා
හරි නේද එහෙනම් යමුද?,යමු
ඉස්සරලා බයික්කෙට නැගලා සතාව ගත්තොත් මොකද?,එහෙම කරන්නම්
එහෙනම් අපි යන්ද?,හා ගිහින් එන්න
දොරවල් වැහුවද?,ඔව් වැහුවා
දැක්කද මේ වටපිටාවෙ ලස්සන?,හරිම ලස්සනයි 
ඔයා දැක්කද අර මනුස්සයා?,ඔව් දැක්කා
ඒ මොකද ඒදෙන්නා කරන්නෙ ?,මං දන්නැ
අපිට තව දුර යන්න තියනවද?,ඔව් තියෙනවා 
මෙයා ඇස් දෙකත් පියාගෙනනෙ. බය හිතෙන්නැද්ද?,බය වෙන්න එපා
අනේ සනීප වෙයි නේද?,ඔව් ඉක්මනින්ම
කලබල වෙලා මොනා කරන්නද?,ඒක තමයි
අපි ටිකක් ඉක්මන් කරමුද?,යමු
හයියෙන් අල්ලගෙන නේද ඉන්නෙ?,ඔව්
මෙතන නේද මේ මිස්ගෙ ඔෆිස් එක?,ඔව් මෙතන
ඉක්මනටඇතුලට යමු නේද?,යමු
බල්ලව මෙතනින් තියලා එන්නද?,හා
ඇතුලට අරන් යමු නේද?,ඔව් අරන් යමු
ඇයි මේ සතාට මොනා වෙලාද?,දන්නැ
අනේ මිස් පොඩ්ඩක් බලනවද?,දෙන්නකො
මේ සතාව ඇදෙන් තියන්න පුලුවන්ද ?,පුලුවන් 
හොදටම කෙට්ටු වෙලා නේද?,ඔව්
බල්ලා කෑම කන්නනෙ නැද්ද?,අඩුයි කනවා
දැන් දවස් ගානක ඉදන් වතුර බොන්නෙත් නෑ නේද?,නැ
අනේ මිස් මෙයා මැරෙයිද?,නැ අපි බලමු
බය වෙන්න එපා පොඩි සැත්කමක් කරන්න වෙනවා කමක් නැද්ද?,අනෙ.
ඔව් කමක් නෑ නේද අයියෙ?,කමක් නැ
දෙන්නම ටිකක් එලියෙන් ඉන්නවද?,හා
අතනින් වාඩිවෙලා ඉන්නද මිස්?,හා එතන ඉන්න
අනේ මට බයයි එයාව අපිට නැති වෙයිද?,නැ එහෙම වෙන්නැ
කලබල නැතුව ඉන්නකො.කලබල උනා කියලා මොකුත් කරන්න බෑනෙ?,මං කලබල නොවි ඉන්නම්
මං ලගට වෙලා ඉන්නවද?,හා මං ඉන්නම්
මාව දාලා කොහෙවත් යන්නෙ නෑ නේද?,නැ යන්නැ
මං මෙතෙන්ටම වෙලා ඉන්නවා හාද?,හා 
මට වෙනකව්ද ඉන්නෙ ? මගෙ ශක්තිය.,මං ඉන්නවානෙ
හරි සැත්කම ඉවරයි දෙන්නම එනවද?,ඉක්මනින් යමු
ඇයි එයා ඇස් අරින්නෙ නැත්තෙ?,ඉන්නකො
නින්ද යන්න බෙහෙතක් දුන්නද? ,ඔව්
සිහිනැති කරාද?,ඔව්
බය වෙන්න දෙයක් නෑ නේද?,නැ
තව ටිකකින් ඇස් අරියි නේද?,ඔව්
අන්න මිස් එයා ඇස් අරිනවා නේද?,ඔව්
අපිට මෙයාව ගෙදර අරන් යන්න පුලුවන්ද ?,ඔව් පුලුවන් 
මල්ලිමේ බෙහෙත් ටික ෆාමසිගෙන් ගන්නවද?,හා ගන්නම්
ගොඩක් ගනන්ද මිස්?,නැතිවෙයි
රුපියල් 500ක් විතර අතේ තියනවද?,ඔව්
500ක් ඇතිද මිස්?,ඔව්
අපි ගිහින් එන්නද මිස්?,හා හොදයි
හා හොදයි.මේ සතාව පරිස්සමට බලාගන්නවා නේද?,ඔව් එහෙම කරන්නම්
අයියේ බල්ලගෙ වෙලාව හොදයි නේද?,ඔව් එක තමයි
දැන් සතුටුයි නේද?,ඔව්  සතුටුයි
මං කිව්වෙ බය වෙන්නෙපා කියලා මතකයිද?,ඔව් මට මතකයි
බෙහෙත් ටිකක් ෆාමසියෙන් ගන්න කිව්වා නේද?,ඔව්
ලග ෆාමිසියක් තියනවනම් නවත්තනවද?,ලග නැ.
ඉස්සරහා එකක් තියනවා නේද?,ඔව් 
වාහන එන්නෑ නෑද?,නෑ එන්නැ.
අතෙන්ට අයින් කරලා නැවැත්තුවනම් හරිනේද?,ඔව් එතන හොදයි
ඔයා මෙතෙන්ට වෙලා ඉන්නවද ? මං අරන් එන්නම්,හා ඉන්නම්
ඉක්මනට එනව නේද?,ඔව් එන්නම්
එනකන් ඔතෙන්ටම වෙලා ඉන්න හාද?,හා
මට මේ බෙහෙත් ටික දෙන්න පුලුවන්ද ?,පුලුවන් 
මේ ටික විතරද ඕනෙ?,ඔව් මෙච්චරයි.
බෙහෙත් වලට කීයක් වෙනවද?,450යි
මේ ටික බෑග් එක්කට දාල දෙනවද?,හා දෙන්නම්
බෙහෙත් වලට කීයක් ගියාද?,450යි
ගොඩක් ගනන් නේද ඒ  ටික?,ඔව් ඒකනෙ
බෙහෙත් වර්ග දෙකයිද තියෙන්නෙ?,ඔව් 2යි
දැන් ගෙදර යමු නේද?,යමු
බල්ලා ආයෙ නිදාගත්තෙ නෑ නේද?,නැ 
මාළුකෑල්ලකුත් අරන් යන්ද?,හා එහෙම කරමු
බත් දෙනකොට බෙහෙත් කලවම් කරලා දෙමු නේද?,ඔව් එහෙම කරමු
ඔව් මාකට් එකට යමුද ?,හා යමු
තෙල් ඇති වෙයිද දන්නෙ නෑ නේද?,ඇති
අපිට යන්න පුලුවන් වෙයි නේද?,ඔව්
ගෙදර යාගන්න තෙල් තිබ්බනම් ඇති නේද?,ඔව්
ඔහොම ඉන්නකො මං මාලු කෑල්ලක් අරන් එන්නම් හාද?,හා
මං මෙතන් ඉනිදගෙන ඉන්නද?,හා ඉන්න
පරිස්සමට ඉන්න ඕනෙ හොදද?,හා
අයියෙ මට මාළු කිලෝ එකක් දෙනවද?,දෙන්නම්
මේ ජාතියෙන් දාන්නද?,හා
ඒවා උයලා කනකොට රසයිද?,රසයි
කපලා දෙන්නද මල්ලි ?,හා
කපලා අරං ගියොත් ලේසියි නේද?,ඔව්
වෙන මොනාද ඕනෙ මල්ලි?,මොකුත් නැ
අයියෙ ඔතෙන්ට කීයද?,720යි
මාරු සල්ලි නැද්ද මල්ලි?,නැ අයියෙ.
හරි නේද අයියේ?,ඔව් මල්ලි
මාළු ගත්තද අයියෙ?,ඔව් ගත්තා
ඉක්මනට යන් නේද ගෙදර?,යමු
බයික්කෙට නැග්ගද?,ඔව් නැග්ගා
අයියෙ බයික් එක නැවතුනා නේද?,ඔව්නෙ
ඇයි ඔයා හිනා වෙන්නෙ අයියෙ?,මට හිනා ගියා
ගෙවල් ඉස්සරහින්ම නේද බයික් එක නැවතුනේ?,ඒකනෙ
පුතේ උඹට බඩගිනීද?,ටිකක්
අද වහිනවනෙ ?,ඒකනෙ
තාත්තට වැඩක් හොයාගන්න බෑනෙ මේ වැස්සත් එක්ක නේද අම්මෙ?,බැ කියලා බැනෙ
වහින දවස් වලටබපි හැමදාම බඩගින්නෙ නේද අම්මෙ?,අනෙ පුතෙ
දුප්පත් මිනිස්සු හැමෝටම එහෙමද?,හැමොම නැ
තේ ටිකක්වත් හදලා දෙනවද?,හා 
හෙටත් වැස්සොත් අපිට මොකද වෙන්නෙ?,දන්නැ
පොඩි එකා අඩන්නෙ බඩගින්නෙ නේද?,ඔව්
වැස්සත් අඩුකරා නේද පුතේ?,ඔව්
කෝ තේ ටිකක් හැදුවද?,නැ
සීනි දාන්නද?,හා
සීනි දාන්න එපාද?,දාන්න
හකුරු කෑල්ලක් ගේන්නද?,ගේන්න
තියන එකක් එක්ක ඉක්මනට ගේනවද?,ඉන්න පොඩ්ඩක්
මං වැඩක් බලලා එන්නද?,හා පරිස්සමෙන් 
පොල් ගස් නගින්න එපා නේද මේ වැස්සෙ?,එපා
එහෙමයි කියලා වැඩකට නොයා ඉන්නද?,දන්නැ
පොඩි එකා බඩගින්නෙ ලතෝනි දෙනවා නේද?,ඔව්
ලොකු එකා ඉන්නෙත් බඩගින්නෙ නේද?,තේ බොන්නම්
ලමයි හාමත් වෙන්න දෙන්නපුලුවන්ද?,බලන් ඉන්න බැ.
මං ගිහින් ඉක්මනට එනවා හරිද?,හරි හදීසී නෑ හිමීට එන්න
පරිස්සමට වැඩ කරන්න හරිද?,හරී
මල්ලි අඩන්න එපා හරිද?,හරි හරි අඩන් නෑ
තාත්තා ඉක්මනට එයි නේද අයියෙ?,ඔව් ඉක්මට එයි මල්ලියේ
මහත්තයා ගෙදරට නේද ගියෙ?,ඔව්
එහෙ පොල් ගස් ටිකක් තියනවා නේද?,ඔව්. නේද
බයේ බෑ නේද වැස්සෙ ?,ඔව්නේ බයේ බෑ
අර සුමනෙ මාමා නේද එන්නෙ?,නෑ කසුන්ගෙ තාත්තා
මේ මනුස්සයා වැස්සෙ කොහෙද දුවන්නෙ?,දන්නෙ නෑ
අවේලාවෙ මොකො මේ කලබලෙන්?,පොඩි හදීසියක්
පුතේ අම්මා ඉන්නවද?,ඔව් ඉන්නවා
මාමෙ මොකද්ද කලබලේ ?,ඇයි පුතේ අහන්නේ
කාරනයක් කියන්නම් බය වෙන්නෙපා හරිද?,හරි
මොකද්ද මාමේ කාරනය?,මොකුත් නෑ පුතේ
අනේ මගෙ තාත්තට ගොඩාක් අමාරුයි ද?,නෑ දැං අඩුයි
මාමෙ අපි ඉක්මනට යමුද?,යමු යමු
දුවගෙන යමු?,එපා වාහකේන යමු
අනේ පුතේ පරිස්සමට යන්න හාද?,හා අම්මේ
අම්මා මල්ලිව බලාගෙන ඉන්න ඕනෙ හාද?,හා පුතේ
වෙදමහත්තයා එයිද?,දැං එයී
මග එනවා කියලා කිව්වා නේද?,ඔව් කීවා
අර මහත්තයා අල්ලගෙන යන්නෙ මගෙ තාත්තා නේද?,ඔව්
මහත්තයො තාත්තට මොකද උනේ?,මොකුත් උනේ නෑ
පුතා ඔයාගෙ තාත්තා හොදින් ඉන්නවා නේද?,ඔව් ඉන්නවා
බය වෙන්න දෙයක් නෑලු නේද?,නෑ නෑ
අත පොඩ්ඩක් කැඩිලා විතරලු නේද?,ඔව් ටිකයි 
සුමානයක් විතර බෙහෙත් කලාම හරි නේද?,ඔව්
බය නැතුව ඉන්න හොදද? ,හා 
කෝ මට අත පොඩ්ඩක් දෙන්න බලන්න?,ආ බලන්නකො
නාඩි වල ප්‍රශ්නයක් නෑ නේද වෙදමහත්තයො? ,නෑ තාම
සිහිය නැති උනේ නෑනෙ නේද?,නෑ හොදෛන් ඉන්නවා
කොච්චර උසකින්ද වැටුනෙ?,දන්නෙ නෑ
වැලමිට ගාවින්ද කැඩිලා තියෙන්නෙ?,ඔව් 
අත තමා වැදිලාබ්තියෙන්නෙ නේද?,ඔව්
පොළව පෙඟිලා නිසා ඔයින් ගියා නේද?,ඔව් ඒකනේ
මේ දරුවන්ගේ වාසනාවට තමා බේරුනේ නේද?,නෑ නෑ ඒක එයාගෙ වාසනාවනේ
පුතේ තාත්තට බෙහෙත් බදින්න පුලුවන්ද ?,ඔව් පුලුවන්ලු
උදේ හවස බෙහෙත් ටික වෙලාවට බදින්නඕනෙ හොදද?,හොදයි
අත සතියකින් සනීප කරන්නපුලුවන්ද ?,ඔව් පුලුවන්ලු
වෙදමහත්තයා මං ගෙදර යන්නද?,හා දැං යන්න
පුතා එන්න අපේ ගෙදර බෙහෙත් අරන් යන්නත් ඕනෙනෙ?,ඔව් එනවා
මේ ලමයින්ගෙ තාත්තව මහත්තයා බලාගන්නවද?,ඔව්
කොල්ලා එනකන් මම තියාගන්නද?,හා තියාගන්න
තාත්තා පරිස්සමට ඉන්න හාද?,හා පුතේ
පුතේ කරත්තෙට නගිනවද?,ඔව්
එක්කො ලෙඩාවත් එක්කගෙන යන්ද?,ඔව් ඒම කරමු
ලෙඩාව අරන්ම යන එක හොදයි නේද?,ඔව්
මේ මනුස්සයා කරත්තෙට පටවන්න පුලුවන්ද ?,බෑනෙ මෙයා මහත වැඩීනේ
මේ වැහි අස්සෙ මොකට ගස් නගින්න ගියාද?,කොස් කඩන්න
ඔයිට වඩා දෙයක් උනත් ඔච්චරයිනෙ ?,ඔව් ඉතිං 
අනේ වෙදමහත්තයා පොඩි උන් බඩගින්නෙ තියන්න බෑනෙ?,ඔව් ඒක ඇත්ත
එහෙම කියලා ජීවිතේ අනතුරේ දාගෙනත් බෑනෙ ?,ඔව්
අපි යමුද බෙහෙත් බදින්න?,හා යමු
කොලුවො කරත්තෙ ගන්න පුලුවන්ද?,ඔව් මම ගන්නම්
කොලුවො අපි ඉක්මන් කරමු නේද?,ඔව්.ඉක්මනට යං
කරුවල වැටීගෙන එන්නෙ නේද?,ඔව්
රෑ වෙන්න කලින් පැලට යමු නේද?,ඔව් යමු
මේපාරත් හේන විනාසයි වගේ නේද?,ඔව් ඉතිං 
අලි කරදරේ තමා තියෙන්නෙ?,ඒකනේ
වනජීවී එකෙන් අලි වෙඩි දීලාගියා නේද?,ඔව්
මාමටත් අලිවෙඩි පැකට් එකක් දුන්නද?,ඔව් දුන්නා
අර කොනෙන් ගිනිමැලයක් ගහමු නේද?,ඔව් ඒම ගහමු
කෝ දර තියනවද?,ඔව් තිබුනා
අර කොනේ දර ටිකක් තිබ්බා නේද,ඔව්
තාත්තා දර ටික පලලා කොහෙන්ද දැම්මෙ?,දන්නෙ නෑ
ගිනිපෙට්ටිය කෝ තියනවද?,ඔව් තිබ්බා
පත්තු කරන්න පුලුවන්ද මේක?,ඔව්
මං අර ලීකෑලි ටිකත් අරන් එන්නද?,හ අරගෙන එන්න
ගිනි ගොඩක් ගහමු නේද?,ඔව් ගහමු
පත්තු වෙනවා නේද?,ඔව් 
අපි යමුද පැල් කොටේට?,යමු නේද
අලි විතරක්නම් බැරියෑ ඌරොත් එනවනෙ නේද?,මුවොත් එනවනෙ
ගියපාර මගේ කුරක්කන් ඔක්කොම කෑවෙ මොනුන්ද?,දන්නෙ නෑ
පදුරක්වත් ඉතුරු උනේ නෑ නේද?,ඔව්
ඇත්තට අලි වැට ගැහුවට වැඩක් තියනවද?,ඔව් තියෙනවා
එතකොට ලක්ෂ ගනන් වියදම් කරපුවා?,අපරාදේ නේද
බාල ප්‍රමිතියට හැදුවාම හැමදේම ඉක්මනට විනාස වෙනවනෙ?,ඔව්
කැලෑ එලි කරනකොට උන්ට ඉන්නත් නෑනෙ?,ඒකනේ
අනික මේ දවස් වල පෑවිල්ලනෙ නේද?,ඔව් 
කැලේ ඇතුලෙ තියන වැව් අනම් මනම් ඔක්කොම හිදිලා ඇතිනෙ ?,ඔව් නියගයනේ
ඒ සත්තුන්ට බොන්න වතුරටිකක්වත් නෑ නේද?,ඔව්
වතුර නැති කොට කන්නත් නැතුව ඇතිනෙ?,ඔව් ඒකනෙ ගමට එන්නේ
උන් ගම් වදින්නෙ නැතිව ඉදීද?,කියන්න බෑ
මොකක් නිසාද මැරුනේ?,දන්නෙ නෑ
මේ ඇදුම මට ගැලපෙනවද?,ඔව් ඒක ඔයාට ගැලපෙනවා
මට ලස්සනට සිංදු කියන්න පුලුවන්,එහෙනම් ලස්සනට සිදුවක් කියලා පෙන්නන්න
ඔයා මේ ජීවිතයව කැමතියිද?,ඔව් ගොඩක්
ඔයා ඇය ගැන මොනාද හිතන්නෙ?,ඇය හරිම හොද කෙනෙක්
මට මේ පාඩම කියලා දෙන්න පුලුවන්ද?,ඔවි පුලුවන්
ඇය හරිම හොද කෙනෙක්,ඇය ගොඩක් හොද කෙනෙක්
මම හිතනවා මට තරගය දිනන්න පුලුවන් වෙයි කියලා,ඔයාට පුලුවන් මම සුභ පතනවා
ජීවිතේ ගැන ඔයාට මොනාද හිතෙන්නෙ?,ජීවිතේ කියන්නෙ අභියෝගයක්
එයාගෙ කොණ්ඩෙ දිගයි නේද?,ඔව් දිගයි ලස්සනයි
මට හරිම දුකයි ඒ ගැන,දුක් වෙන්න එපා
මේ වගේ මලක් මම මීට කලින් දැකලම නෑ,මාත් අදමයි දැක්කෙ
අපි හෙට හම්බවෙමුද?,අනිවාර්යයෙන්ම හම්බවෙමු
ඔයා මට කැමතියිද?,ඔව් ගොඩක්
මට හරිම කම්මැලියි,කම්මැලි වෙන්න එපා
එයා තමයි අපේ පන්තියෙ පලවෙනියා,මාත් කැමතියි එයාව අදුරගන්න
ඔයා අකමැති දේවල් මොනාද?,මන් වංක බොරු කියන අයට කැමතිම නෑ
මං කැමතියි ඔයා ගැන දැනගන්න,මාත් කැමතියි
ඔයා හිතනවද මට මේක කරන්න පුලුවන් වෙයි කියලා?,ඔව් ඔයාට පුලුවන්
ඔයාට මාව විශ්වාසයිද?,ගොඩක් විශ්වාසයි
මේ ගහ ගොඩක් පරණ ගහක්ද?,ටිකක් පරණ ගහක්
ඇයි ඔයා මිනිස්සුන්ට ඔච්චරටම බය?,මොකද එයාලා විශ්වාස කරන්න හරිම අමාරුයි
මම අද ගෙදර එන්නද?,හා අද හවසට ගෙදර එන්න
ඔයා තාමත් මට ආදරේ කරනවද?,නෑ මම ඔයාට ආදරේ කරන එක නැවැත්තුවා
ඔයා පන්තියෙ කීවෙනියද?,මම පන්තියෙ පලවෙනියා
ඔයා උදේට කාලාද ඉන්නෙ?,මම උදේට කාලා ඉන්නෙ
ඇයි ඔයාට ඔච්චර තරහ යන්නෙ?,අනේ මන්ද මටත් හිතාගන්න බෑ
ඔයා මේ ලෝකෙ වැඩියෙන්ම කැමති මොන වගේ පුද්ගලයින්ටද?,ලස්සන හිත් තියෙන මින්ස්සුන්ට
ඔයා කැමතිද හැමදාම මේ විදියට හිනාවෙලා ලස්සනට මාත් එක්ක ඉන්න?,ඔව් ගොඩක් කැමතියි
මේ දවස්වල ඔයා මොනද කරන්නෙ?,මම මේ දවස්වල විභාගයට සූදානම්වෙනවා
ඇයි ඔයා දුකින් ඉන්නෙ?,මට අම්මව මතක් වුනා
මම ඔයාට පොඩි දෙයක් කියන්නද?,හා කියන්න
ඔයාට මාව ඇහෙනවද?,ඔව් ඇහෙනවා
ඔයා අද හරිම ලස්සනයි,ගොඩක් සුතූතියි
මම කැමතියි හැමදාම ඔයා මේ විදියට හිනාවෙලා ඉන්නවට,මාත් කැමතියි
මට ලස්සන කතාවක් කියලා දෙනවද?,හරි මම කියලා දෙන්නම්
ඔයා පාඩම් කලාද ඊයෙ?,ඔව් මම පාඩම් කලා
මට දැන් ඉක්මනට ගොඩක් දේවල් අමතක වෙනවා,එ් ඇයි ඒ?
මේ ඇදුම මට අරන් දෙන්න පුලුවන්ද?,පුලුවන් මම අරන් දෙන්නම්
